FOVId,cell_num,file_name,file_base,probe_561_loc_score,probe_638_loc_score
898,1,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,2,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,3,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,4,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,5,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,6,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,7,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,8,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,9,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,10,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,11,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,12,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
898,13,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P1_B2_annotations_corrected,,
899,1,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell1.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,2,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell2.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,3,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell3.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,4,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell4.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,5,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell5.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,6,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell6.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,7,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell7.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,8,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell8.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,9,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell9.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,10,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell10.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,11,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell11.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,12,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell12.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
899,13,5500000013_63X_20190807_S1_P10_B2_annotations_corrected.Actn2_cell13.jpg,5500000013_63X_20190807_S1_P10_B2_annotations_corrected,,
