,cell_num,file_name,probe_561_loc_score,probe_638_loc_score
0,1,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,,
1,2,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,,
2,3,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,,
3,4,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,,
4,5,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,,
5,6,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,,
6,7,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell7.jpg,,
7,8,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell8.jpg,,
8,9,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell9.jpg,,
9,10,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell10.jpg,,
10,11,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell11.jpg,,
11,12,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell12.jpg,,
12,13,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell13.jpg,,
13,1,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell1.jpg,0,0
14,2,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell2.jpg,0,0
15,3,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell3.jpg,0,0
16,4,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell4.jpg,0,1
17,5,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell5.jpg,0,0
18,6,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell6.jpg,0,0
19,7,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell7.jpg,0,0
20,8,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell8.jpg,0,0
21,9,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell9.jpg,0,0
22,10,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell10.jpg,0,0
23,11,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell11.jpg,0,0
24,12,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell12.jpg,0,0
25,13,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell13.jpg,0,0
26,14,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell14.jpg,0,0
27,15,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell15.jpg,0,0
28,16,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell16.jpg,0,1
29,17,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell17.jpg,0,0
30,18,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell18.jpg,0,0
31,19,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell19.jpg,0,0
32,20,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell20.jpg,0,1
33,1,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell1.jpg,,
34,2,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell2.jpg,,
35,3,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell3.jpg,,
36,4,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell4.jpg,,
37,1,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell1.jpg,,
38,2,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell2.jpg,,
39,3,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell3.jpg,,
40,4,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell4.jpg,,
41,5,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell5.jpg,,
42,6,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell6.jpg,,
43,7,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell7.jpg,,
44,8,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell8.jpg,,
45,9,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell9.jpg,,
46,10,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell10.jpg,,
47,11,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell11.jpg,,
48,12,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell12.jpg,,
49,13,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell13.jpg,,
50,1,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell1.jpg,,
51,2,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell2.jpg,,
52,3,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell3.jpg,,
53,4,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell4.jpg,,
54,1,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell1.jpg,0,0
55,2,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell2.jpg,0,0
56,3,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell3.jpg,0,2
57,4,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell4.jpg,0,0
58,5,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell5.jpg,0,0
59,6,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell6.jpg,0,0
60,7,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell7.jpg,0,0
61,1,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell1.jpg,,
62,2,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell2.jpg,,
63,3,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell3.jpg,,
64,4,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell4.jpg,,
65,5,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell5.jpg,,
66,6,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell6.jpg,,
67,7,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell7.jpg,,
68,8,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell8.jpg,,
69,9,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell9.jpg,,
70,1,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell1.jpg,,
71,2,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell2.jpg,,
72,3,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell3.jpg,,
73,1,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell1.jpg,,
74,2,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell2.jpg,,
75,3,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell3.jpg,,
76,4,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell4.jpg,,
77,5,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell5.jpg,,
78,6,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell6.jpg,,
79,7,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell7.jpg,,
80,8,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell8.jpg,,
81,9,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell9.jpg,,
82,10,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell10.jpg,,
83,11,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell11.jpg,,
84,12,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell12.jpg,,
85,1,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell1.jpg,0,0
86,2,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell2.jpg,0,2
87,3,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell3.jpg,0,0
88,4,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell4.jpg,0,0
89,5,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell5.jpg,0,1
90,6,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell6.jpg,0,0
91,7,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell7.jpg,0,0
92,8,5500000013_63X_20190807_S1_P3_B3_annotations_corrected.Actn2_cell8.jpg,0,0
93,1,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell1.jpg,,
94,2,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell2.jpg,,
95,3,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell3.jpg,,
96,4,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell4.jpg,,
97,5,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell5.jpg,,
98,6,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell6.jpg,,
99,7,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell7.jpg,,
100,8,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell8.jpg,,
101,9,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell9.jpg,,
102,10,5500000013_63X_20190807_S1_P3_B4_annotations_corrected.Actn2_cell10.jpg,,
103,1,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell1.jpg,,
104,2,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell2.jpg,,
105,3,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell3.jpg,,
106,4,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell4.jpg,,
107,5,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell5.jpg,,
108,6,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell6.jpg,,
109,7,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell7.jpg,,
110,8,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell8.jpg,,
111,9,5500000013_63X_20190807_S1_P3_B5_annotations_corrected.Actn2_cell9.jpg,,
112,1,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell1.jpg,,
113,2,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell2.jpg,,
114,3,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell3.jpg,,
115,4,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell4.jpg,,
116,5,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell5.jpg,,
117,6,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell6.jpg,,
118,7,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell7.jpg,,
119,8,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell8.jpg,,
120,9,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell9.jpg,,
121,10,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell10.jpg,,
122,11,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell11.jpg,,
123,12,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell12.jpg,,
124,13,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell13.jpg,,
125,14,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell14.jpg,,
126,15,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell15.jpg,,
127,16,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell16.jpg,,
128,17,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell17.jpg,,
129,18,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell18.jpg,,
130,19,5500000013_63X_20190807_S1_P4_B2_annotations_corrected.Actn2_cell19.jpg,,
131,1,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell1.jpg,0,0
132,2,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell2.jpg,0,2
133,3,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell3.jpg,0,0
134,4,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell4.jpg,0,1
135,5,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell5.jpg,0,2
136,6,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell6.jpg,0,2
137,7,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell7.jpg,0,1
138,8,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell8.jpg,0,1
139,9,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell9.jpg,2,0
140,10,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell10.jpg,0,2
141,11,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell11.jpg,2,2
142,12,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell12.jpg,0,0
143,13,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell13.jpg,2,2
144,14,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell14.jpg,0,0
145,15,5500000013_63X_20190807_S1_P4_B3_annotations_corrected.Actn2_cell15.jpg,1,1
146,1,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell1.jpg,,
147,2,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell2.jpg,,
148,3,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell3.jpg,,
149,4,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell4.jpg,,
150,5,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell5.jpg,,
151,6,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell6.jpg,,
152,7,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell7.jpg,,
153,8,5500000013_63X_20190807_S1_P4_B4_annotations_corrected.Actn2_cell8.jpg,,
154,1,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell1.jpg,,
155,2,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell2.jpg,,
156,3,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell3.jpg,,
157,4,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell4.jpg,,
158,5,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell5.jpg,,
159,6,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell6.jpg,,
160,7,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell7.jpg,,
161,8,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell8.jpg,,
162,9,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell9.jpg,,
163,10,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell10.jpg,,
164,11,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell11.jpg,,
165,12,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell12.jpg,,
166,13,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell13.jpg,,
167,14,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell14.jpg,,
168,15,5500000013_63X_20190807_S1_P4_B5_annotations_corrected.Actn2_cell15.jpg,,
169,1,5500000013_63X_20190807_S1_P5_B2_annotations_corrected.Actn2_cell1.jpg,,
