FOVId,ge_wellID,well_position,fov_path,microscope,image_date,probe488,probe546,probe647,plate_name,cell_line,cell_age,notes
898,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
899,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
900,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 11,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
901,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 12,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
902,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 13,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
903,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 14,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
904,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 15,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
905,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 16,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
906,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 17,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
907,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 18,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
908,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 19,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
909,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 2,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
910,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 20,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
911,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 21,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
912,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 22,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
913,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 23,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
914,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 24,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
915,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 25,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
916,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 26,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
917,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 27,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
918,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 28,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
919,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 29,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
920,97,B2,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 3,3i,2019-08-07,,HPRT1-B1,COL2A1-B4,5500000013,AICS-75,18,
