FOVId,ge_wellID,well_position,fov_path,microscope,image_date,probe488,probe546,probe647,plate_name,cell_line,cell_age,notes
22,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_2-Scene-14-P21-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
23,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_2-Scene-15-P22-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
24,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_2-Scene-16-P23-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
25,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_2-Scene-17-P25-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
27,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_3-Scene-1-P25-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
28,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_3-Scene-2-P24-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
29,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_3-Scene-3-P27-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
30,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_3-Scene-4-P26-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
31,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_3-Scene-5-P30-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
33,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_4-Scene-01-P30-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
34,3,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000000/ZSD2/40X_zstack/5500000000_40X_20180913_4-Scene-02-P29-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000000,AICS-0,18,
70,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-07-P22-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
71,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-08-P23-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
72,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-09-P24-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
73,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-10-P21-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
74,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-11-P25-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
75,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-12-P26-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
76,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-13-P28-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
77,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-14-P27-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
78,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-15-P29-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
79,11,B4,/allen/aics/microscopy/Data/RnD_Sandbox/5500000001/ZSD2/40X_zstack/5500000001_40X_20180913_2-Scene-16-P30-B04.czi,ZSD2,,TNNT2-B2,MYL7-B5,MYL2-B4,5500000001,AICS-0,29,
