,fov_id,original_fov_location,rescaled_2D_fov_tiff_path,cell_label_value,rescaled_2D_single_cell_tiff_path,single_cell_id,score
0,3006,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,rescaled_2D_fov_tiff_path/ee81edb9_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,1,rescaled_2D_single_cell_tiff_path/a0d817ca_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell1.ome.tiff,a0d817ca_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell1.ome.tiff,
1,3006,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,rescaled_2D_fov_tiff_path/ee81edb9_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,2,rescaled_2D_single_cell_tiff_path/b55dc645_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell2.ome.tiff,b55dc645_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell2.ome.tiff,
2,3006,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,rescaled_2D_fov_tiff_path/ee81edb9_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,3,rescaled_2D_single_cell_tiff_path/8467f63f_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell3.ome.tiff,8467f63f_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell3.ome.tiff,
3,3006,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1,rescaled_2D_fov_tiff_path/ee81edb9_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,4,rescaled_2D_single_cell_tiff_path/8f502b09_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell4.ome.tiff,8f502b09_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0_annotations_corrected_rescaled_cell4.ome.tiff,
4,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,1,rescaled_2D_single_cell_tiff_path/372b7998_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell1.ome.tiff,372b7998_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell1.ome.tiff,
5,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,2,rescaled_2D_single_cell_tiff_path/1a51d0e1_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell2.ome.tiff,1a51d0e1_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell2.ome.tiff,
6,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,3,rescaled_2D_single_cell_tiff_path/efea6771_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell3.ome.tiff,efea6771_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell3.ome.tiff,
7,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,4,rescaled_2D_single_cell_tiff_path/61fd3092_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell4.ome.tiff,61fd3092_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell4.ome.tiff,
8,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,5,rescaled_2D_single_cell_tiff_path/79feb5b6_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell5.ome.tiff,79feb5b6_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell5.ome.tiff,
9,3007,/allen/aics/assay-dev/MicroscopyData/Jamie/2020/20201002/exports/20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10,rescaled_2D_fov_tiff_path/c47023b7_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled.ome.tiff,6,rescaled_2D_single_cell_tiff_path/af74f74a_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell6.ome.tiff,af74f74a_20201002_J03_001_Capture 1 - Capture 1 - B2 [144] Montage - 10_C0_annotations_corrected_rescaled_cell6.ome.tiff,
