,fov_id,original_fov_location,rescaled_2D_fov_tiff_path,cell_label_value,rescaled_2D_single_cell_tiff_path,single_cell_id,score
0,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,1,rescaled_2D_single_cell_tiff_path/2afccfb7_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell1.ome.tiff,2afccfb7_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell1.ome.tiff,
1,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,2,rescaled_2D_single_cell_tiff_path/fd26f33b_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell2.ome.tiff,fd26f33b_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell2.ome.tiff,
2,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,3,rescaled_2D_single_cell_tiff_path/cb9db1a4_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell3.ome.tiff,cb9db1a4_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell3.ome.tiff,
3,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,4,rescaled_2D_single_cell_tiff_path/5697e927_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell4.ome.tiff,5697e927_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell4.ome.tiff,
4,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,5,rescaled_2D_single_cell_tiff_path/64afd748_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell5.ome.tiff,64afd748_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell5.ome.tiff,
5,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,6,rescaled_2D_single_cell_tiff_path/a3383523_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell6.ome.tiff,a3383523_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell6.ome.tiff,0.0
6,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,7,rescaled_2D_single_cell_tiff_path/aa90f30c_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell7.ome.tiff,aa90f30c_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell7.ome.tiff,
7,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,8,rescaled_2D_single_cell_tiff_path/1a6a8ed8_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell8.ome.tiff,1a6a8ed8_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell8.ome.tiff,
8,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,9,rescaled_2D_single_cell_tiff_path/0ae9f858_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell9.ome.tiff,0ae9f858_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell9.ome.tiff,
9,1398,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190710/ome_tif_reexports/20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1,rescaled_2D_fov_tiff_path/24167afb_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled.ome.tiff,10,rescaled_2D_single_cell_tiff_path/9184e57e_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell10.ome.tiff,9184e57e_20190710_M02_002_Capture 1 - Capture 1 - B3 [144] Montage - 1_C0_annotations_corrected_rescaled_cell10.ome.tiff,
