,cell_num,file_name,mh Score,kg score
0,1,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,3,3
1,2,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,2,3
2,3,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,3,3
3,4,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,0,0
4,5,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,2,2
5,6,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,2,1
6,7,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell7.jpg,0,0
7,8,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell8.jpg,3,3
8,9,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell9.jpg,3,3
9,10,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell10.jpg,0,0
10,11,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell11.jpg,2,2
11,12,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell12.jpg,2,3
12,13,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell13.jpg,0,0
13,1,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell1.jpg,3,3
14,2,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell2.jpg,3,4
15,3,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell3.jpg,1,1
16,4,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell4.jpg,2,3
17,5,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell5.jpg,4,4
18,6,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell6.jpg,3,3
19,7,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell7.jpg,2,2
20,8,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell8.jpg,4,5
21,9,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell9.jpg,2,3
22,10,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell10.jpg,2,3
23,11,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell11.jpg,2,2
24,12,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell12.jpg,1,2
25,13,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell13.jpg,3,3
26,14,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell14.jpg,2,3
27,15,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell15.jpg,1,2
28,16,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell16.jpg,2,2
29,17,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell17.jpg,1,2
30,18,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell18.jpg,1,2
31,19,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell19.jpg,1,2
32,20,5500000013_63X_20190807_S1_P1_B3_annotations_corrected.Actn2_cell20.jpg,3,3
33,1,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell1.jpg,4,4
34,2,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell2.jpg,3,3
35,3,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell3.jpg,3,3
36,4,5500000013_63X_20190807_S1_P1_B4_annotations_corrected.Actn2_cell4.jpg,2,3
37,1,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell1.jpg,1,1
38,2,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell2.jpg,1,2
39,3,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell3.jpg,3,3
40,4,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell4.jpg,3,4
41,5,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell5.jpg,1,2
42,6,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell6.jpg,3,3
43,7,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell7.jpg,1,2
44,8,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell8.jpg,2,3
45,9,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell9.jpg,1,2
46,10,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell10.jpg,1,2
47,11,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell11.jpg,3,4
48,12,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell12.jpg,2,3
49,13,5500000013_63X_20190807_S1_P1_B5_annotations_corrected.Actn2_cell13.jpg,1,1
50,1,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell1.jpg,3,3
51,2,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell2.jpg,1,2
52,3,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell3.jpg,2,3
53,4,5500000013_63X_20190807_S1_P2_B2_annotations_corrected.Actn2_cell4.jpg,1,2
54,1,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell1.jpg,2,3
55,2,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell2.jpg,0,0
56,3,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell3.jpg,2,2
57,4,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell4.jpg,2,2
58,5,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell5.jpg,4,4
59,6,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell6.jpg,3,3
60,7,5500000013_63X_20190807_S1_P2_B3_annotations_corrected.Actn2_cell7.jpg,3,2
61,1,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell1.jpg,2,2
62,2,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell2.jpg,2,4
63,3,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell3.jpg,1,2
64,4,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell4.jpg,3,3
65,5,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell5.jpg,3,3
66,6,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell6.jpg,0,0
67,7,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell7.jpg,4,4
68,8,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell8.jpg,4,3
69,9,5500000013_63X_20190807_S1_P2_B4_annotations_corrected.Actn2_cell9.jpg,2,3
70,1,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell1.jpg,3,3
71,2,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell2.jpg,0,0
72,3,5500000013_63X_20190807_S1_P2_B5_annotations_corrected.Actn2_cell3.jpg,3,4
73,1,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell1.jpg,4,4
74,2,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell2.jpg,3,3
75,3,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell3.jpg,3,3
76,4,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell4.jpg,3,4
77,5,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell5.jpg,3,3
78,6,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell6.jpg,0,0
79,7,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell7.jpg,0,0
80,8,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell8.jpg,2,3
81,9,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell9.jpg,2,2
82,10,5500000013_63X_20190807_S1_P3_B2_annotations_corrected.Actn2_cell10.jpg,3,3
