cell_num,file_name,mh_score,kg_score
1,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,0,0
2,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,4,4
3,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,4,4
4,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,4,4
5,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,4,4
6,5500000014_63X_20190816_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,3,3
1,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell1.jpg,5,4
2,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell2.jpg,4,4
3,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell3.jpg,4,4
4,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell4.jpg,3,3
5,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell5.jpg,4,4
6,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell6.jpg,3,3
7,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell7.jpg,4,3
8,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell8.jpg,3,3
9,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell9.jpg,3,3
10,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell10.jpg,5,5
11,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell11.jpg,4,4
12,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell12.jpg,3,2
13,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell13.jpg,4,3
14,5500000014_63X_20190816_S1_P1_B3_annotations_corrected.Actn2_cell14.jpg,3,3
1,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell1.jpg,3,3
2,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell2.jpg,4,4
3,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell3.jpg,3,2
4,5500000014_63X_20190816_S1_P1_B4_annotations_corrected.Actn2_cell4.jpg,3,3
