,FOVId,cell_num,file_name,mh score,kg score
0,919.0,1,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell1.jpg,2,2
1,919.0,2,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell2.jpg,3,2
2,919.0,3,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell3.jpg,3,3
3,919.0,4,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell4.jpg,3,3
4,919.0,5,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell5.jpg,3,3
5,919.0,6,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell6.jpg,3,3
6,919.0,7,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell7.jpg,3,2
7,919.0,8,5500000013_63X_20190807_S1_P29_B2_annotations_corrected.Actn2_cell8.jpg,3,2
8,1074.0,1,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell1.jpg,3,4
9,1074.0,2,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell2.jpg,-1,-1
10,1074.0,3,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell3.jpg,3,3
11,1074.0,4,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell4.jpg,4,4
12,1074.0,5,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell5.jpg,3,3
13,1074.0,6,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell6.jpg,3,3
14,1074.0,7,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell7.jpg,2,2
15,1074.0,8,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell8.jpg,3,3
16,1074.0,9,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell9.jpg,3,3
17,1074.0,10,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell10.jpg,3,3
18,1074.0,11,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell11.jpg,3,4
19,1074.0,12,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell12.jpg,3,3
20,1074.0,13,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell13.jpg,3,3
21,1074.0,14,5500000013_63X_20190807_S2_P6_C3_annotations_corrected.Actn2_cell14.jpg,3,3
22,,1,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell1.jpg,3,3
23,,2,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell2.jpg,2,3
24,,3,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell3.jpg,3,3
25,,4,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell4.jpg,0,0
26,,5,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell5.jpg,2,2
27,,6,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell6.jpg,2,1
28,,7,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell7.jpg,0,0
29,,8,5500000013_63X_20190807_S1_P1_B2_annotations_corrected.Actn2_cell8.jpg,3,3
