CellId,Score1,Score2,Age,MaskFileName,RawFileName,Probe561_LocScore,Probe638_LocScore
1,3,3,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
2,2,3,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
3,3,3,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
4,0,0,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
5,2,2,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
6,2,1,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
7,0,0,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
8,3,3,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
9,3,3,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
10,0,0,18,/allen/aics/gene-editing/FISH/2019/chaos/data/merged_napari/5500000013/5500000013_63X_20190807_S1_P1_B2_annotations_corrected.tiff,/allen/aics/assay-dev/MicroscopyData/Melissa/2019/20190807/63x_exports/20190807_M01_001_Capture 1 - Capture 1 - B2 [144] Montage - 1_C0.tif,,
